"TIME","GEO","UNIT","AGE","SEX","Value","Flag and Footnotes"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cumulative difference from 2008, in thousands","55 years or over","Males",":",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cumulative difference from 2008, in thousands","55 years or over","Females",":",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","Total","Total","117,907","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","Total","Males","54,916","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","Total","Females","62,991","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","Less than 16 years","Total","22,603","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","Less than 16 years","Males","11,720","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","Less than 16 years","Females","10,883","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","From 16 to 24 years","Total","15,970","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","From 16 to 24 years","Males","7,882","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","From 16 to 24 years","Females","8,088","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","From 25 to 54 years","Total","46,609","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","From 25 to 54 years","Males","22,621","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","From 25 to 54 years","Females","23,988","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","55 years or over","Total","32,726","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","55 years or over","Males","12,693","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Thousand persons","55 years or over","Females","20,032","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Total","Total","23.8","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Total","Males","22.7","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Total","Females","24.8","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Less than 16 years","Total","27.3","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Less than 16 years","Males","27.2","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Less than 16 years","Females","27.4","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","From 16 to 24 years","Total","29.5","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","From 16 to 24 years","Males","28.5","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","From 16 to 24 years","Females","30.5","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","From 25 to 54 years","Total","22.1","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","From 25 to 54 years","Males","21.6","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","From 25 to 54 years","Females","22.5","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","55 years or over","Total","22.2","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","55 years or over","Males","19.0","e"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","55 years or over","Females","24.8","e"
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","Total","Total","373","e"
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","Total","Males",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","Total","Females",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","Less than 16 years","Total",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","Less than 16 years","Males",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","Less than 16 years","Females",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Total",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Males",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Females",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Total",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Males",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Females",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","55 years or over","Total",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","55 years or over","Males",":",""
"2010","European Union - 27 countries (from 2020)","Cumulative difference from 2008, in thousands","55 years or over","Females",":",""
"2010","European Union - 27 countries (from 2020)","Thousand persons","Total","Total","103,695","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","Total","Males","48,202","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","Total","Females","55,493","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","Less than 16 years","Total","19,272","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","Less than 16 years","Males","9,915","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","Less than 16 years","Females","9,357","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","From 16 to 24 years","Total","13,897","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","From 16 to 24 years","Males","6,834","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","From 16 to 24 years","Females","7,063","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","From 25 to 54 years","Total","41,608","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","From 25 to 54 years","Males","20,291","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","From 25 to 54 years","Females","21,318","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","55 years or over","Total","28,918","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","55 years or over","Males","11,163","e"
"2010","European Union - 27 countries (from 2020)","Thousand persons","55 years or over","Females","17,755","e"
"2010","European Union - 27 countries (from 2020)","Percentage","Total","Total","23.9","e"
"2010","European Union - 27 countries (from 2020)","Percentage","Total","Males","22.7","e"
"2010","European Union - 27 countries (from 2020)","Percentage","Total","Females","24.9","e"
"2010","European Union - 27 countries (from 2020)","Percentage","Less than 16 years","Total","26.9","e"
"2010","European Union - 27 countries (from 2020)","Percentage","Less than 16 years","Males","26.6","e"
"2010","European Union - 27 countries (from 2020)","Percentage","Less than 16 years","Females","27.2","e"
"2010","European Union - 27 countries (from 2020)","Percentage","From 16 to 24 years","Total","29.6","e"
"2010","European Union - 27 countries (from 2020)","Percentage","From 16 to 24 years","Males","28.6","e"
"2010","European Union - 27 countries (from 2020)","Percentage","From 16 to 24 years","Females","30.7","e"
"2010","European Union - 27 countries (from 2020)","Percentage","From 25 to 54 years","Total","22.4","e"
"2010","European Union - 27 countries (from 2020)","Percentage","From 25 to 54 years","Males","22.0","e"
"2010","European Union - 27 countries (from 2020)","Percentage","From 25 to 54 years","Females","22.7","e"
"2010","European Union - 27 countries (from 2020)","Percentage","55 years or over","Total","22.2","e"
"2010","European Union - 27 countries (from 2020)","Percentage","55 years or over","Males","19.0","e"
"2010","European Union - 27 countries (from 2020)","Percentage","55 years or over","Females","24.8","e"
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","Total","Total","516",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","Total","Males",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","Total","Females",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","Less than 16 years","Total",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","Less than 16 years","Males",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","Less than 16 years","Females",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Total",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Males",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Females",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Total",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Males",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Females",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","55 years or over","Total",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","55 years or over","Males",":",""
"2010","European Union - 28 countries (2013-2020)","Cumulative difference from 2008, in thousands","55 years or over","Females",":",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","Total","Total","117,907",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","Total","Males","54,916",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","Total","Females","62,991",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","Less than 16 years","Total","22,603",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","Less than 16 years","Males","11,720",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","Less than 16 years","Females","10,883",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","From 16 to 24 years","Total","15,970",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","From 16 to 24 years","Males","7,882",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","From 16 to 24 years","Females","8,088",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","From 25 to 54 years","Total","46,609",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","From 25 to 54 years","Males","22,621",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","From 25 to 54 years","Females","23,988",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","55 years or over","Total","32,726",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","55 years or over","Males","12,693",""
"2010","European Union - 28 countries (2013-2020)","Thousand persons","55 years or over","Females","20,032",""
"2010","European Union - 28 countries (2013-2020)","Percentage","Total","Total","23.8",""
"2010","European Union - 28 countries (2013-2020)","Percentage","Total","Males","22.7",""
"2010","European Union - 28 countries (2013-2020)","Percentage","Total","Females","24.8",""
"2010","European Union - 28 countries (2013-2020)","Percentage","Less than 16 years","Total","27.3",""
"2010","European Union - 28 countries (2013-2020)","Percentage","Less than 16 years","Males","27.2",""
"2010","European Union - 28 countries (2013-2020)","Percentage","Less than 16 years","Females","27.4",""
"2010","European Union - 28 countries (2013-2020)","Percentage","From 16 to 24 years","Total","29.5",""
"2010","European Union - 28 countries (2013-2020)","Percentage","From 16 to 24 years","Males","28.5",""
"2010","European Union - 28 countries (2013-2020)","Percentage","From 16 to 24 years","Females","30.5",""
"2010","European Union - 28 countries (2013-2020)","Percentage","From 25 to 54 years","Total","22.1",""
"2010","European Union - 28 countries (2013-2020)","Percentage","From 25 to 54 years","Males","21.6",""
"2010","European Union - 28 countries (2013-2020)","Percentage","From 25 to 54 years","Females","22.5",""
"2010","European Union - 28 countries (2013-2020)","Percentage","55 years or over","Total","22.2",""
"2010","European Union - 28 countries (2013-2020)","Percentage","55 years or over","Males","19.0",""
"2010","European Union - 28 countries (2013-2020)","Percentage","55 years or over","Females","24.8",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","Total","Total","516",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","Total","Males",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","Total","Females",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","Less than 16 years","Total",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","Less than 16 years","Males",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","Less than 16 years","Females",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Total",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Males",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Females",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Total",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Males",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Females",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","55 years or over","Total",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","55 years or over","Males",":",""
"2010","European Union - 27 countries (2007-2013)","Cumulative difference from 2008, in thousands","55 years or over","Females",":",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","Total","Total","116,585",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","Total","Males","54,298",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","Total","Females","62,287",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","Less than 16 years","Total","22,403",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","Less than 16 years","Males","11,619",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","Less than 16 years","Females","10,784",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","From 16 to 24 years","Total","15,811",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","From 16 to 24 years","Males","7,803",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","From 16 to 24 years","Females","8,008",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","From 25 to 54 years","Total","46,114",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","From 25 to 54 years","Males","22,365",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","From 25 to 54 years","Females","23,750",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","55 years or over","Total","32,256",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","55 years or over","Males","12,512",""
"2010","European Union - 27 countries (2007-2013)","Thousand persons","55 years or over","Females","19,745",""
"2010","European Union - 27 countries (2007-2013)","Percentage","Total","Total","23.7",""
"2010","European Union - 27 countries (2007-2013)","Percentage","Total","Males","22.6",""
"2010","European Union - 27 countries (2007-2013)","Percentage","Total","Females","24.8",""
"2010","European Union - 27 countries (2007-2013)","Percentage","Less than 16 years","Total","27.3",""
"2010","European Union - 27 countries (2007-2013)","Percentage","Less than 16 years","Males","27.2",""
"2010","European Union - 27 countries (2007-2013)","Percentage","Less than 16 years","Females","27.4",""
"2010","European Union - 27 countries (2007-2013)","Percentage","From 16 to 24 years","Total","29.4",""
"2010","European Union - 27 countries (2007-2013)","Percentage","From 16 to 24 years","Males","28.5",""
"2010","European Union - 27 countries (2007-2013)","Percentage","From 16 to 24 years","Females","30.4",""
"2010","European Union - 27 countries (2007-2013)","Percentage","From 25 to 54 years","Total","22.0",""
"2010","European Union - 27 countries (2007-2013)","Percentage","From 25 to 54 years","Males","21.5",""
"2010","European Union - 27 countries (2007-2013)","Percentage","From 25 to 54 years","Females","22.5",""
"2010","European Union - 27 countries (2007-2013)","Percentage","55 years or over","Total","22.0",""
"2010","European Union - 27 countries (2007-2013)","Percentage","55 years or over","Males","18.9",""
"2010","European Union - 27 countries (2007-2013)","Percentage","55 years or over","Females","24.7",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","Total","Total","1,311","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","Total","Males",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","Total","Females",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","Less than 16 years","Total",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","Less than 16 years","Males",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","Less than 16 years","Females",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Total",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Males",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","From 16 to 24 years","Females",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Total",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Males",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","From 25 to 54 years","Females",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","55 years or over","Total",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","55 years or over","Males",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Cumulative difference from 2008, in thousands","55 years or over","Females",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","Total","Total","70,568","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","Total","Males","32,733","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","Total","Females","37,835","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","Less than 16 years","Total","13,280","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","Less than 16 years","Males","6,885","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","Less than 16 years","Females","6,395","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","From 16 to 24 years","Total","9,289","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","From 16 to 24 years","Males","4,482","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","From 16 to 24 years","Females","4,807","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","From 25 to 54 years","Total","28,603","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","From 25 to 54 years","Males","13,714","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","From 25 to 54 years","Females","14,889","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","55 years or over","Total","19,395","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","55 years or over","Males","7,652","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Thousand persons","55 years or over","Females","11,744","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Total","Total","21.8","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Total","Males","20.7","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Total","Females","22.9","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Less than 16 years","Total","24.9","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Less than 16 years","Males","24.8","e"
